,train,test,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
140,0.8875320020481311,0.8337474120082817,4,21,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),140(s),,,,,,,,,,,,,
141,0.8689016897081412,0.8624016563146997,9,16,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),141(s),,,,,,,,,,,,,
142,0.8932667690732208,0.8594616977225673,6,20,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),142(s),,,,,,,,,,,,,
143,0.8646031746031746,0.8481159420289854,16,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),139(s),143,,,,,,,,,,,,
144,0.8631822836661547,0.8566459627329192,13,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),139(s),144,,,,,,,,,,,,
145,0.8717639528929851,0.8681573498964804,10,6,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),145(s),,,,,,,,,,,,,
146,0.9061725550435227,0.7678260869565218,2,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),146(s),,,,,,,,,,,,,
147,0.9061725550435227,0.7678260869565218,2,16,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),147(s),,,,,,,,,,,,,
148,0.8932667690732208,0.8594616977225673,6,29,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),141(s),148,,,,,,,,,,,,
149,1.0,0.7993788819875777,1,10,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),141(s),149,,,,,,,,,,,,
150,0.9061725550435227,0.7678260869565218,2,9,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),142(s),150,,,,,,,,,,,,
151,0.8717639528929851,0.8681573498964804,10,39,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),142(s),151,,,,,,,,,,,,
152,0.8624628776241678,0.8538302277432711,15,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),139(s),144,152,,,,,,,,,,,
153,0.8517127496159753,0.8509316770186335,25,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),139(s),144,153,,,,,,,,,,,
154,0.8875320020481311,0.8337474120082817,4,17,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),154(s),,,,,,,,,,,,,
155,0.8667613927291347,0.859544513457557,11,13,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),155(s),,,,,,,,,,,,,
156,1.0,0.7993788819875777,1,22,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),156(s),,,,,,,,,,,,,
157,0.8796466973886329,0.8681573498964804,7,8,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),145(s),157,,,,,,,,,,,,
158,0.899720942140297,0.8452173913043477,3,8,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),145(s),158,,,,,,,,,,,,
159,0.8624628776241678,0.8538302277432711,15,20,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),142(s),151,159,,,,,,,,,,,
160,0.8631822836661547,0.8566459627329192,13,67,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),142(s),151,160,,,,,,,,,,,
161,0.8717639528929851,0.8681573498964804,10,20,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),141(s),161,,,,,,,,,,,,
162,0.899720942140297,0.8452173913043477,3,21,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),141(s),162,,,,,,,,,,,,
163,0.8560112647209422,0.8424016563146998,21,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),139(s),144,163,,,,,,,,,,,
