,train,test,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
199,0.7995091164095373,0.7760869565217392,17,230,uniform,ball_tree,euclidean,2,199(s),,,,,,,,,,
200,0.7435717625058439,0.8018115942028985,28,22,uniform,ball_tree,euclidean,2,200(s),,,,,,,,,,
201,1.0,0.7579710144927535,1,5,uniform,ball_tree,euclidean,2,157(s),166,183.0,201,,,,,,,
202,0.7564749883122955,0.7847826086956522,25,1,uniform,ball_tree,euclidean,2,157(s),166,183.0,202,,,,,,,
203,0.7758298270219729,0.7416666666666666,7,171,uniform,ball_tree,euclidean,2,203(s),,,,,,,,,,
204,0.7995091164095373,0.7760869565217392,17,233,uniform,ball_tree,euclidean,2,204(s),,,,,,,,,,
205,0.7478494623655914,0.8018115942028985,26,186,uniform,ball_tree,euclidean,2,205(s),,,,,,,,,,
206,0.6616175783076204,0.6634057971014493,40,1,uniform,ball_tree,euclidean,2,157(s),166,183.0,202,206,,,,,,
207,0.7435717625058439,0.8018115942028985,28,1,uniform,ball_tree,euclidean,2,157(s),166,183.0,202,207,,,,,,
208,0.7973819541841983,0.7753623188405797,12,223,uniform,ball_tree,euclidean,2,208(s),,,,,,,,,,
209,0.6810425432445066,0.6804347826086955,36,87,uniform,ball_tree,euclidean,2,209(s),,,,,,,,,,
210,1.0,0.7579710144927535,1,56,uniform,ball_tree,euclidean,2,210(s),,,,,,,,,,
211,0.7564749883122955,0.7847826086956522,25,1,uniform,ball_tree,euclidean,2,157(s),166,183.0,202,207,211,,,,,
212,0.672393641888733,0.672463768115942,44,1,uniform,ball_tree,euclidean,2,157(s),166,183.0,202,207,212,,,,,
213,0.7241701729780272,0.7061594202898551,34,1,uniform,ball_tree,euclidean,2,157(s),166,183.0,202,213,,,,,,
214,0.7715755025712951,0.7757246376811594,24,1,uniform,ball_tree,euclidean,2,157(s),166,183.0,202,214,,,,,,
215,0.6573398784478728,0.6637681159420289,50,1,uniform,ball_tree,euclidean,2,157(s),166,183.0,202,206,215,,,,,
216,0.7564749883122955,0.7847826086956522,25,1,uniform,ball_tree,euclidean,2,157(s),166,183.0,202,206,216,,,,,
217,0.7973819541841983,0.7416666666666666,11,158,uniform,ball_tree,euclidean,2,217(s),,,,,,,,,,
218,1.0,0.7579710144927535,1,149,uniform,ball_tree,euclidean,2,218(s),,,,,,,,,,
219,0.7435717625058439,0.8018115942028985,28,126,uniform,ball_tree,euclidean,2,219(s),,,,,,,,,,
220,0.8038101916783544,0.7934782608695652,19,1,uniform,ball_tree,euclidean,2,157(s),166,183.0,202,207,211,220,,,,
221,0.7780037400654513,0.8021739130434783,20,1,uniform,ball_tree,euclidean,2,157(s),166,183.0,202,207,211,221,,,,
222,0.7478494623655914,0.8018115942028985,26,1,uniform,ball_tree,euclidean,2,157(s),166,183.0,202,206,215,222,,,,
223,0.6702431042543243,0.6637681159420289,43,1,uniform,ball_tree,euclidean,2,157(s),166,183.0,202,206,215,223,,,,
224,0.6788686302010285,0.6891304347826086,35,66,uniform,ball_tree,euclidean,2,224(s),,,,,,,,,,
225,0.7802010285179991,0.7499999999999999,23,79,uniform,ball_tree,euclidean,2,225(s),,,,,,,,,,
226,0.7478494623655914,0.8018115942028985,26,17,uniform,ball_tree,euclidean,2,226(s),,,,,,,,,,
227,0.7973819541841983,0.7492753623188405,13,221,uniform,ball_tree,euclidean,2,217(s),227,,,,,,,,,
228,0.8038101916783544,0.7934782608695652,19,1,uniform,ball_tree,euclidean,2,217(s),228,,,,,,,,,
229,0.6702431042543243,0.6463768115942029,45,1,uniform,ball_tree,euclidean,2,157(s),166,183.0,202,206,215,229,,,,
230,0.7931042543244506,0.7152173913043478,5,1,uniform,ball_tree,euclidean,2,157(s),166,183.0,202,206,215,230,,,,
231,0.8598410472183262,0.6807971014492752,3,55,uniform,ball_tree,euclidean,2,231(s),,,,,,,,,,
232,0.7802010285179991,0.7499999999999999,23,177,uniform,ball_tree,euclidean,2,232(s),,,,,,,,,,
233,0.8038101916783544,0.7934782608695652,19,128,uniform,ball_tree,euclidean,2,233(s),,,,,,,,,,
234,1.0,0.7579710144927535,1,192,uniform,ball_tree,euclidean,2,217(s),234,,,,,,,,,
235,0.7801542776998598,0.7413043478260869,6,268,uniform,ball_tree,euclidean,2,217(s),235,,,,,,,,,
236,0.7241467975689575,0.6978260869565217,33,110,uniform,ball_tree,euclidean,2,236(s),,,,,,,,,,
237,0.8082047685834504,0.7583333333333333,15,145,uniform,ball_tree,euclidean,2,237(s),,,,,,,,,,
238,0.7499766245909305,0.7496376811594203,30,55,uniform,ball_tree,euclidean,2,238(s),,,,,,,,,,
239,1.0,0.7579710144927535,1,11,uniform,ball_tree,euclidean,2,231(s),239,,,,,,,,,
240,0.8663160355306218,0.6891304347826088,2,47,uniform,ball_tree,euclidean,2,231(s),240,,,,,,,,,
241,0.8038101916783544,0.7934782608695652,19,230,uniform,ball_tree,euclidean,2,241(s),,,,,,,,,,
242,0.8016596540439458,0.7148550724637681,4,212,uniform,ball_tree,euclidean,2,242(s),,,,,,,,,,
243,0.7973819541841983,0.7416666666666666,11,94,uniform,ball_tree,euclidean,2,243(s),,,,,,,,,,
244,0.7413978494623656,0.7677536231884058,27,89,uniform,ball_tree,euclidean,2,244(s),,,,,,,,,,
245,1.0,0.7579710144927535,1,58,uniform,ball_tree,euclidean,2,245(s),,,,,,,,,,
246,0.7564749883122955,0.7847826086956522,25,111,uniform,ball_tree,euclidean,2,246(s),,,,,,,,,,
